Lucas, Iowa,123349.0,13
Alameda, California,1178968.0,675
Carroll, Georgia,285073.0,159
Mason, West Virginia,112939.0,18
Pike, Georgia,304612.0,13
Stone, Mississippi,157214.0,37
Madison, Virginia,348976.0,10
Clay, Kentucky,77247.0,1
Zapata, Texas,128938.0,25
Limestone, Alabama,296233.0,154
Calaveras, California,481186.0,200
Lagrange, Indiana,301677.0,38
Marshall, Minnesota,165625.0,4
Schuyler, Illinois,128172.0,1
Ellsworth, Kansas,136469.0,8
Goshen, Wyoming,237010.0,31
Columbia, Washington,285951.0,18
Dougherty, Georgia,118514.0,1
Beckham, Oklahoma,144281.0,5
Gonzales, Texas,213229.0,17
Dawson, Texas,113192.0,2
Twiggs, Georgia,108977.0,16
Cleveland, Oklahoma,235108.0,61
Muscogee, Georgia,161463.0,0
White, Arkansas,170564.0,146
Okanogan, Washington,356286.0,33
Henry, Tennessee,176918.0,53
Wasatch, Utah,861401.0,16
Washington, Florida,190658.0,44
Kleberg, Texas,143150.0,48
Live Oak, Texas,202134.0,9
Greenwood, Kansas,87539.0,17
Riverside, California,603773.0,775
Blue Earth, Minnesota,283259.0,17
Drew, Arkansas,137456.0,21
Buckingham, Virginia,198996.0,16
Moffat, Colorado,291642.0,8
Prowers, Colorado,138693.0,12
Grayson, Texas,288035.0,76
Jefferson, West Virginia,348661.0,41
Scott, Virginia,130784.0,15
Llano, Texas,440520.0,9
Clark, Illinois,119484.0,5
Floyd, Virginia,217735.0,29
Franklin, Idaho,410436.0,1
Smith, Texas,257714.0,252
Newton, Missouri,193229.0,111
Routt, Colorado,970758.0,1
Marion, Ohio,148268.0,22
Tioga, Pennsylvania,202892.0,0
Union, Tennessee,232732.0,46
Ida, Iowa,105396.0,9
Adams, Idaho,500459.0,13
Carroll, New Hampshire,431417.0,9
Madera, California,421851.0,451
Cowlitz, Washington,421983.0,92
Jefferson, Wisconsin,301143.0,42
Worcester, Maryland,417162.0,18
Union, Arkansas,110988.0,49
Barbour, Alabama,132342.0,34
Montague, Texas,184660.0,49
Howard, Arkansas,113217.0,8
Pipestone, Minnesota,128413.0,1
Van Buren, Iowa,133668.0,4
Harper, Kansas,72838.0,1
Habersham, Georgia,226242.0,44
Silver Bow, Montana,244195.0,169
Summit, Ohio,201500.0,59
Geauga, Ohio,329819.0,19
Clarion, Pennsylvania,132610.0,0
Aransas, Texas,323296.0,68
Lancaster, Virginia,330333.0,29
Greene, Alabama,100670.0,32
Calhoun, Alabama,144143.0,18
Clay, Illinois,93271.0,3
Anderson, Kentucky,214288.0,3
Putnam, Florida,211920.0,169
Steele, Minnesota,257151.0,10
Bureau, Illinois,120755.0,17
Mille Lacs, Minnesota,261711.0,35
Clay, Tennessee,150285.0,19
Coal, Oklahoma,118562.0,3
Columbia, Florida,243166.0,199
Ashley, Arkansas,77601.0,23
Houston, Texas,166186.0,5
Clark, Ohio,168947.0,21
Pittsylvania, Virginia,186293.0,61
Warren, Virginia,333887.0,30
Mckinley, New Mexico,217367.0,123
Barry, Michigan,277062.0,42
Mcleod, Minnesota,263141.0,11
Russell, Virginia,132426.0,35
Cleburne, Arkansas,211120.0,88
Washakie, Wyoming,237913.0,4
Lewis, Washington,402757.0,56
Clare, Michigan,121422.0,79
Payette, Idaho,381113.0,14
Polk, Arkansas,139231.0,30
Smith, Tennessee,231866.0,26
Barren, Kentucky,181183.0,13
Sanilac, Michigan,169267.0,48
Jim Wells, Texas,135055.0,112
Effingham, Illinois,198892.0,11
Marion, Iowa,218843.0,42
Elbert, Colorado,758590.0,22
Marion, Arkansas,177481.0,48
Lake, South Dakota,270633.0,12
Custer, Montana,214927.0,5
Owyhee, Idaho,407645.0,24
Northumberland, Pennsylvania,151975.0,0
Wood, Texas,235987.0,41
Menominee, Michigan,141007.0,19
Boone, Kentucky,301639.0,65
Clay, Minnesota,260698.0,7
Logan, Ohio,207336.0,20
Gratiot, Michigan,136631.0,36
Cleburne, Alabama,170711.0,6
Macon, Georgia,74750.0,0
Bracken, Kentucky,132653.0,2
Menominee, Wisconsin,406454.0,0
Wayne, Michigan,160541.0,1
Polk, Iowa,260992.0,113
Jefferson, Tennessee,259165.0,100
Macoupin, Illinois,112869.0,11
Saluda, South Carolina,168511.0,38
Ripley, Missouri,159063.0,32
Pondera, Montana,231097.0,1
Scott, Mississippi,109481.0,25
Missaukee, Michigan,179632.0,30
Wyoming, New York,173830.0,21
Union, Georgia,348706.0,14
Pendleton, Kentucky,166581.0,4
Nassau, Florida,506105.0,179
Trempealeau, Wisconsin,227735.0,15
Greene, Ohio,257392.0,36
Crockett, Tennessee,135467.0,36
Crowley, Colorado,117751.0,6
Dolores, Colorado,238499.0,7
Lauderdale, Mississippi,122181.0,45
Wayne, Indiana,140550.0,14
Wasco, Oregon,385343.0,25
Randolph, Alabama,149898.0,6
Morgan, West Virginia,205018.0,47
Charlotte, Virginia,179599.0,16
Santa Clara, California,1557005.0,383
Alachua, Florida,296522.0,617
Washington, Tennessee,260644.0,184
Perry, Ohio,180749.0,12
Barnwell, South Carolina,144409.0,87
Scott, Arkansas,114062.0,22
Deuel, South Dakota,202428.0,5
Lake Of The Woods, Minnesota,211377.0,1
Adams, Ohio,146514.0,13
Wilkes, Georgia,144144.0,19
Pratt, Kansas,114018.0,5
Perry, Illinois,92324.0,6
Marion, Kansas,120474.0,4
Dallam, Texas,125181.0,0
Teton, Montana,346561.0,13
Iron, Wisconsin,203575.0,3
Westmoreland, Pennsylvania,221729.0,0
Creek, Oklahoma,166113.0,54
Campbell, Wyoming,333672.0,105
Hart, Kentucky,141597.0,7
Pawnee, Oklahoma,136015.0,22
Dallas, Arkansas,59616.0,2
Hale, Alabama,144954.0,17
Lincoln, Arkansas,104433.0,5
Cullman, Alabama,212072.0,73
Chisago, Minnesota,373766.0,6
Greene, Arkansas,160729.0,33
Hancock, Illinois,108517.0,7
Erie, Pennsylvania,183949.0,0
Morgan, Colorado,345145.0,21
