table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Counties in the United States:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
".Navarro County, Texas","52,624","52,784","53,591"
".Newton County, Texas","12,217","12,163","12,241"
".Nolan County, Texas","14,738","14,721","14,597"
".Nueces County, Texas","353,178","353,090","353,079"
".Ochiltree County, Texas","10,015","9,960","9,782"
".Oldham County, Texas","1,758","1,761","1,717"
".Orange County, Texas","84,808","84,702","84,742"
".Palo Pinto County, Texas","28,409","28,427","28,686"
".Panola County, Texas","22,491","22,513","22,675"
".Parker County, Texas","148,222","149,432","156,764"
".Parmer County, Texas","9,869","9,851","9,813"
".Pecos County, Texas","15,193","15,165","15,118"
".Polk County, Texas","50,123","50,505","51,899"
".Potter County, Texas","118,525","118,173","116,547"
".Presidio County, Texas","6,131","6,102","6,140"
".Rains County, Texas","12,164","12,199","12,509"
".Randall County, Texas","140,753","141,231","143,854"
".Reagan County, Texas","3,385","3,376","3,253"
".Real County, Texas","2,758","2,743","2,826"
".Red River County, Texas","11,587","11,550","11,555"
".Reeves County, Texas","14,748","14,730","14,487"
".Refugio County, Texas","6,741","6,747","6,756"
".Roberts County, Texas",827,823,797
".Robertson County, Texas","16,757","16,740","16,958"
".Rockwall County, Texas","107,819","109,090","116,381"
".Runnels County, Texas","9,900","9,921","9,943"
".Rusk County, Texas","52,214","52,225","52,743"
".Sabine County, Texas","9,894","9,881","10,039"
".San Augustine County, Texas","7,918","7,919","7,922"
".San Jacinto County, Texas","27,402","27,483","27,878"
".San Patricio County, Texas","68,755","68,772","69,699"
".San Saba County, Texas","5,730","5,730","5,827"
".Schleicher County, Texas","2,451","2,442","2,429"
".Scurry County, Texas","16,932","16,931","16,824"
".Shackelford County, Texas","3,105","3,122","3,212"
".Shelby County, Texas","24,022","23,926","23,939"
".Sherman County, Texas","2,782","2,780","2,798"
".Smith County, Texas","233,479","234,063","237,186"
".Somervell County, Texas","9,205","9,214","9,469"
".Starr County, Texas","65,920","65,835","66,049"
".Stephens County, Texas","9,101","9,079","9,173"
".Sterling County, Texas","1,372","1,383","1,381"
".Stonewall County, Texas","1,245","1,245","1,217"
".Sutton County, Texas","3,372","3,362","3,319"
".Swisher County, Texas","6,971","6,957","7,008"
".Tarrant County, Texas","2,110,640","2,114,709","2,126,477"
".Taylor County, Texas","143,208","143,383","143,326"
".Terrell County, Texas",760,744,724
".Terry County, Texas","11,831","11,792","11,754"
".Throckmorton County, Texas","1,440","1,443","1,495"
".Titus County, Texas","31,247","31,264","31,183"
".Tom Green County, Texas","120,003","120,105","119,411"
".Travis County, Texas","1,290,188","1,296,100","1,305,154"
".Trinity County, Texas","13,602","13,623","13,827"
".Tyler County, Texas","19,798","19,797","20,077"
".Upshur County, Texas","40,892","40,975","41,774"
".Upton County, Texas","3,308","3,296","3,265"
".Uvalde County, Texas","24,564","24,540","24,729"
".Val Verde County, Texas","47,586","47,582","47,564"
".Van Zandt County, Texas","59,541","59,690","61,275"
".Victoria County, Texas","91,319","91,236","90,964"
".Walker County, Texas","76,400","76,543","77,977"
".Waller County, Texas","56,794","57,349","59,781"
".Ward County, Texas","11,644","11,656","11,194"
".Washington County, Texas","35,805","35,837","35,891"
".Webb County, Texas","267,114","267,234","267,945"
".Wharton County, Texas","41,570","41,550","41,721"
".Wheeler County, Texas","4,990","4,980","4,927"
".Wichita County, Texas","129,350","129,546","130,069"
".Wilbarger County, Texas","12,887","12,846","12,731"
".Willacy County, Texas","20,164","20,129","20,316"
".Williamson County, Texas","609,017","615,266","643,026"
".Wilson County, Texas","49,753","49,994","51,257"
".Winkler County, Texas","7,791","7,749","7,415"
".Wise County, Texas","68,632","68,866","71,714"
".Wood County, Texas","44,843","45,010","45,875"
".Yoakum County, Texas","7,694","7,669","7,607"
".Young County, Texas","17,867","17,839","17,977"
".Zapata County, Texas","13,889","13,884","13,908"
".Zavala County, Texas","9,670","9,652","9,534"
".Beaver County, Utah","7,072","7,076","7,249"
".Box Elder County, Utah","57,666","57,908","59,688"
".Cache County, Utah","133,154","133,527","137,417"
".Carbon County, Utah","20,412","20,465","20,372"
".Daggett County, Utah",935,952,976
".Davis County, Utah","362,679","363,492","367,285"
".Duchesne County, Utah","19,596","19,581","19,790"
".Emery County, Utah","9,825","9,837","9,967"
".Garfield County, Utah","5,083","5,090","5,129"
".Grand County, Utah","9,669","9,681","9,663"
".Iron County, Utah","57,289","57,640","60,519"
".Juab County, Utah","11,786","11,824","12,155"
".Kane County, Utah","7,667","7,673","7,992"
".Millard County, Utah","12,975","13,015","13,164"
".Morgan County, Utah","12,295","12,392","12,657"
".Piute County, Utah","1,438","1,437","1,487"
".Rich County, Utah","2,510","2,504","2,597"
".Salt Lake County, Utah","1,185,238","1,186,236","1,186,421"
".San Juan County, Utah","14,518","14,525","14,489"
".Sanpete County, Utah","28,437","28,508","29,106"
".Sevier County, Utah","21,522","21,546","21,906"
".Summit County, Utah","42,357","42,452","43,093"
".Tooele County, Utah","72,698","73,281","76,640"
".Uintah County, Utah","35,620","35,618","36,204"
".Utah County, Utah","659,399","663,143","684,986"
".Wasatch County, Utah","34,788","35,032","36,173"
".Washington County, Utah","180,279","181,924","191,226"
".Wayne County, Utah","2,486","2,497","2,558"
".Weber County, Utah","262,223","262,828","267,066"
".Addison County, Vermont","37,363","37,292","37,260"
".Bennington County, Vermont","37,347","37,271","37,312"
".Caledonia County, Vermont","30,233","30,184","30,403"
".Chittenden County, Vermont","168,323","168,289","168,865"
".Essex County, Vermont","5,920","5,910","5,925"
".Franklin County, Vermont","49,946","49,996","50,325"
".Grand Isle County, Vermont","7,293","7,278","7,421"
".Lamoille County, Vermont","25,945","25,914","26,126"
".Orange County, Vermont","29,277","29,259","29,541"
".Orleans County, Vermont","27,393","27,355","27,546"
".Rutland County, Vermont","60,572","60,455","60,591"
".Washington County, Vermont","59,807","59,748","59,969"
".Windham County, Vermont","45,905","45,844","46,090"
".Windsor County, Vermont","57,753","57,700","58,196"
".Accomack County, Virginia","33,413","33,348","33,246"
".Albemarle County, Virginia","112,395","112,496","113,535"
".Alleghany County, Virginia","15,223","15,161","14,986"
".Amelia County, Virginia","13,265","13,246","13,268"
".Amherst County, Virginia","31,307","31,262","31,273"
".Appomattox County, Virginia","16,119","16,133","16,353"
".Arlington County, Virginia","238,643","238,766","232,965"
".Augusta County, Virginia","77,487","77,512","77,563"
".Bath County, Virginia","4,209","4,196","4,114"
".Bedford County, Virginia","79,462","79,504","80,131"
".Bland County, Virginia","6,270","6,247","6,173"
".Botetourt County, Virginia","33,596","33,614","33,866"
".Brunswick County, Virginia","15,849","15,806","15,940"
".Buchanan County, Virginia","20,355","20,216","19,816"
".Buckingham County, Virginia","16,824","16,820","16,947"
".Campbell County, Virginia","55,696","55,638","55,492"
".Caroline County, Virginia","30,887","30,905","31,332"
".Carroll County, Virginia","29,155","29,130","29,048"
".Charles City County, Virginia","6,773","6,733","6,594"
".Charlotte County, Virginia","11,529","11,506","11,448"
".Chesterfield County, Virginia","364,548","365,566","370,688"
".Clarke County, Virginia","14,783","14,788","14,881"
".Craig County, Virginia","4,892","4,880","4,865"
".Culpeper County, Virginia","52,552","52,717","53,596"
".Cumberland County, Virginia","9,675","9,656","9,681"
".Dickenson County, Virginia","14,124","14,045","13,787"
".Dinwiddie County, Virginia","27,947","27,900","27,912"
".Essex County, Virginia","10,599","10,591","10,573"
".Fairfax County, Virginia","1,150,309","1,148,472","1,139,720"
".Fauquier County, Virginia","72,972","72,938","73,815"
".Floyd County, Virginia","15,476","15,474","15,566"
".Fluvanna County, Virginia","27,249","27,280","27,723"
".Franklin County, Virginia","54,477","54,469","54,938"
".Frederick County, Virginia","91,419","91,766","93,717"
".Giles County, Virginia","16,787","16,754","16,562"
".Gloucester County, Virginia","38,711","38,688","39,069"
".Goochland County, Virginia","24,727","24,828","25,488"
".Grayson County, Virginia","15,333","15,300","15,359"
".Greene County, Virginia","20,552","20,591","20,968"
".Greensville County, Virginia","11,391","11,393","11,437"
".Halifax County, Virginia","34,022","33,901","33,738"
".Hanover County, Virginia","109,979","110,102","111,603"
".Henrico County, Virginia","334,389","334,298","333,554"
".Henry County, Virginia","50,948","50,782","50,248"
".Highland County, Virginia","2,232","2,236","2,226"
".Isle of Wight County, Virginia","38,606","38,658","39,278"
".James City County, Virginia","78,254","78,412","79,882"
".King and Queen County, Virginia","6,608","6,590","6,662"
".King George County, Virginia","26,723","26,806","27,489"
".King William County, Virginia","17,810","17,905","18,171"
".Lancaster County, Virginia","10,919","10,910","10,928"
".Lee County, Virginia","22,173","22,084","21,983"
".Loudoun County, Virginia","420,959","422,597","427,592"
".Louisa County, Virginia","37,596","37,757","38,848"
".Lunenburg County, Virginia","11,936","11,930","11,926"
".Madison County, Virginia","13,837","13,837","13,942"
".Mathews County, Virginia","8,533","8,524","8,546"
".Mecklenburg County, Virginia","30,319","30,287","30,248"
".Middlesex County, Virginia","10,625","10,623","10,781"
".Montgomery County, Virginia","99,721","99,508","98,473"
".Nelson County, Virginia","14,775","14,732","14,790"
".New Kent County, Virginia","22,945","23,086","23,897"
".Northampton County, Virginia","12,282","12,232","12,085"
".Northumberland County, Virginia","11,839","11,839","12,029"
".Nottoway County, Virginia","15,642","15,614","15,594"
".Orange County, Virginia","36,254","36,396","37,188"
".Page County, Virginia","23,709","23,693","23,807"
".Patrick County, Virginia","17,608","17,560","17,602"
".Pittsylvania County, Virginia","60,501","60,312","59,972"
".Powhatan County, Virginia","30,333","30,433","31,136"
".Prince Edward County, Virginia","21,849","21,853","21,932"
".Prince George County, Virginia","43,010","43,023","42,880"
".Prince William County, Virginia","482,204","482,738","484,472"
".Pulaski County, Virginia","33,800","33,760","33,759"
".Rappahannock County, Virginia","7,348","7,312","7,407"
".Richmond County, Virginia","8,923","8,920","9,017"
".Roanoke County, Virginia","96,929","96,845","96,589"
".Rockbridge County, Virginia","22,650","22,610","22,641"
".Rockingham County, Virginia","83,757","83,758","84,394"
".Russell County, Virginia","25,781","25,726","25,550"
".Scott County, Virginia","21,576","21,547","21,419"
".Shenandoah County, Virginia","44,186","44,255","44,752"
".Smyth County, Virginia","29,800","29,730","29,477"
".Southampton County, Virginia","17,996","17,949","18,006"
".Spotsylvania County, Virginia","140,032","140,475","143,676"
".Stafford County, Virginia","156,927","157,604","160,877"
".Surry County, Virginia","6,561","6,546","6,530"
".Sussex County, Virginia","10,829","10,768","10,763"
".Tazewell County, Virginia","40,429","40,343","39,925"
".Warren County, Virginia","40,727","40,782","40,925"
".Washington County, Virginia","53,935","53,839","53,635"
".Westmoreland County, Virginia","18,477","18,496","18,731"
".Wise County, Virginia","36,130","36,018","35,647"
".Wythe County, Virginia","28,290","28,274","28,178"
".York County, Virginia","70,045","70,154","70,915"
".Alexandria city, Virginia","159,467","159,097","154,706"
".Bristol city, Virginia","17,219","17,259","17,054"
".Buena Vista city, Virginia","6,641","6,620","6,601"
".Charlottesville city, Virginia","46,553","46,423","45,672"
".Chesapeake city, Virginia","249,422","249,679","251,269"
".Colonial Heights city, Virginia","18,170","18,191","18,273"
".Covington city, Virginia","5,737","5,721","5,717"
".Danville city, Virginia","42,590","42,465","42,215"
".Emporia city, Virginia","5,766","5,716","5,667"
".Fairfax city, Virginia","24,146","24,129","24,276"
".Falls Church city, Virginia","14,658","14,654","14,493"
".Franklin city, Virginia","8,180","8,171","8,217"
".Fredericksburg city, Virginia","27,982","27,995","28,367"
".Galax city, Virginia","6,720","6,691","6,660"
".Hampton city, Virginia","137,148","137,131","137,746"
".Harrisonburg city, Virginia","51,814","51,675","51,430"
".Hopewell city, Virginia","23,033","22,967","23,140"
".Lexington city, Virginia","7,320","7,313","7,456"
".Lynchburg city, Virginia","79,009","78,871","79,009"
".Manassas city, Virginia","42,772","42,728","42,708"
".Manassas Park city, Virginia","17,219","17,140","17,002"
".Martinsville city, Virginia","13,485","13,422","13,517"
".Newport News city, Virginia","186,247","185,916","184,587"
".Norfolk city, Virginia","238,005","237,591","235,089"
".Norton city, Virginia","3,687","3,679","3,666"
".Petersburg city, Virginia","33,458","33,428","33,429"
".Poquoson city, Virginia","12,460","12,455","12,574"
".Portsmouth city, Virginia","97,915","98,015","97,840"
".Radford city, Virginia","16,070","16,089","16,499"
".Richmond city, Virginia","226,610","226,670","226,604"
".Roanoke city, Virginia","100,011","99,875","98,865"
".Salem city, Virginia","25,346","25,374","25,373"
".Staunton city, Virginia","25,750","25,800","25,661"
".Suffolk city, Virginia","94,324","94,685","96,194"
".Virginia Beach city, Virginia","459,470","459,373","457,672"
".Waynesboro city, Virginia","22,196","22,279","22,550"
".Williamsburg city, Virginia","15,425","15,445","15,590"
".Winchester city, Virginia","28,120","28,008","28,136"
".Adams County, Washington","20,613","20,605","20,621"
".Asotin County, Washington","22,285","22,290","22,397"
".Benton County, Washington","206,873","207,230","210,025"
".Chelan County, Washington","79,074","79,185","79,646"
".Clallam County, Washington","77,155","77,280","78,209"
".Clark County, Washington","503,311","505,013","511,404"
".Columbia County, Washington","3,952","3,949","4,042"
".Cowlitz County, Washington","110,730","110,924","111,524"
".Douglas County, Washington","42,938","42,998","43,696"
".Ferry County, Washington","7,178","7,178","7,273"
".Franklin County, Washington","96,749","97,076","98,268"
".Garfield County, Washington","2,286","2,292","2,346"
".Grant County, Washington","99,123","99,365","100,297"
".Grays Harbor County, Washington","75,636","75,811","76,841"
".Island County, Washington","86,857","86,948","87,432"
".Jefferson County, Washington","32,977","33,048","33,605"
".King County, Washington","2,269,675","2,272,571","2,252,305"
".Kitsap County, Washington","275,611","275,660","274,314"
".Kittitas County, Washington","44,337","44,589","45,499"
".Klickitat County, Washington","22,735","22,783","23,118"
".Lewis County, Washington","82,149","82,474","84,398"
".Lincoln County, Washington","10,876","10,920","11,232"
".Mason County, Washington","65,726","66,028","67,615"
".Okanogan County, Washington","42,104","42,118","42,634"
".Pacific County, Washington","23,365","23,470","23,948"
".Pend Oreille County, Washington","13,401","13,482","13,886"
".Pierce County, Washington","921,130","922,828","925,708"
".San Juan County, Washington","17,788","17,818","18,557"
".Skagit County, Washington","129,523","129,852","130,696"
".Skamania County, Washington","12,036","12,034","12,170"
".Snohomish County, Washington","827,957","829,331","833,540"
".Spokane County, Washington","539,339","540,700","546,040"
".Stevens County, Washington","46,445","46,566","47,426"
".Thurston County, Washington","294,793","295,729","297,977"
".Wahkiakum County, Washington","4,422","4,443","4,582"
".Walla Walla County, Washington","62,584","62,574","62,682"
".Whatcom County, Washington","226,847","227,304","228,831"
".Whitman County, Washington","47,973","47,786","47,873"
".Yakima County, Washington","256,728","256,533","256,035"
".Barbour County, West Virginia","15,465","15,440","15,468"
".Berkeley County, West Virginia","122,076","122,654","126,069"
".Boone County, West Virginia","21,809","21,714","21,312"
".Braxton County, West Virginia","12,447","12,386","12,247"
".Brooke County, West Virginia","22,559","22,469","22,140"
".Cabell County, West Virginia","94,350","94,137","93,418"
".Calhoun County, West Virginia","6,229","6,199","6,176"
".Clay County, West Virginia","8,051","8,006","7,892"
".Doddridge County, West Virginia","7,808","7,786","7,735"
".Fayette County, West Virginia","40,488","40,358","39,927"
".Gilmer County, West Virginia","7,408","7,378","7,377"
".Grant County, West Virginia","10,976","10,954","10,983"
".Greenbrier County, West Virginia","32,977","32,866","32,608"
".Hampshire County, West Virginia","23,093","23,067","23,302"
".Hancock County, West Virginia","29,095","29,019","28,656"
".Hardy County, West Virginia","14,299","14,240","14,160"
".Harrison County, West Virginia","65,921","65,771","65,158"
".Jackson County, West Virginia","27,791","27,735","27,738"
".Jefferson County, West Virginia","57,701","57,732","58,370"
".Kanawha County, West Virginia","180,745","180,048","177,952"
".Lewis County, West Virginia","17,033","17,009","16,892"
".Lincoln County, West Virginia","20,463","20,337","20,126"
".Logan County, West Virginia","32,567","32,473","31,909"
".McDowell County, West Virginia","19,111","18,916","18,363"
".Marion County, West Virginia","56,205","56,157","56,001"
".Marshall County, West Virginia","30,591","30,444","30,115"
".Mason County, West Virginia","25,453","25,356","25,157"
".Mercer County, West Virginia","59,664","59,462","59,097"
".Mineral County, West Virginia","26,938","26,877","26,857"
".Mingo County, West Virginia","23,568","23,455","23,005"
".Monongalia County, West Virginia","105,822","105,916","106,387"
".Monroe County, West Virginia","12,376","12,330","12,332"
".Morgan County, West Virginia","17,063","17,037","17,221"
".Nicholas County, West Virginia","24,604","24,523","24,300"
".Ohio County, West Virginia","42,425","42,264","41,776"
".Pendleton County, West Virginia","6,143","6,134","6,142"
".Pleasants County, West Virginia","7,653","7,649","7,601"
".Pocahontas County, West Virginia","7,869","7,847","7,841"
".Preston County, West Virginia","34,216","34,176","34,358"
".Putnam County, West Virginia","57,440","57,399","57,260"
".Raleigh County, West Virginia","74,591","74,349","73,771"
".Randolph County, West Virginia","27,932","27,852","27,806"
".Ritchie County, West Virginia","8,444","8,424","8,383"
".Roane County, West Virginia","14,028","13,977","13,898"
".Summers County, West Virginia","11,959","11,915","11,908"
".Taylor County, West Virginia","16,705","16,701","16,492"
".Tucker County, West Virginia","6,762","6,752","6,672"
".Tyler County, West Virginia","8,313","8,279","8,155"
".Upshur County, West Virginia","23,816","23,783","23,791"
".Wayne County, West Virginia","38,982","38,830","38,498"
".Webster County, West Virginia","8,378","8,329","8,249"
".Wetzel County, West Virginia","14,442","14,382","14,170"
".Wirt County, West Virginia","5,194","5,183","5,063"
".Wood County, West Virginia","84,296","83,996","83,624"
".Wyoming County, West Virginia","21,382","21,326","21,051"
".Adams County, Wisconsin","20,654","20,673","20,875"
".Ashland County, Wisconsin","16,027","15,977","16,107"
".Barron County, Wisconsin","46,711","46,643","46,719"
".Bayfield County, Wisconsin","16,220","16,229","16,320"
".Brown County, Wisconsin","268,740","268,741","269,591"
".Buffalo County, Wisconsin","13,317","13,320","13,302"
".Burnett County, Wisconsin","16,526","16,588","16,744"
".Calumet County, Wisconsin","52,442","52,476","52,539"
".Chippewa County, Wisconsin","66,297","66,279","66,865"
".Clark County, Wisconsin","34,659","34,628","34,746"
".Columbia County, Wisconsin","58,490","58,510","58,488"
".Crawford County, Wisconsin","16,113","16,086","16,075"
".Dane County, Wisconsin","561,504","562,306","563,951"
".Dodge County, Wisconsin","89,396","89,262","89,313"
".Door County, Wisconsin","30,066","30,102","30,369"
".Douglas County, Wisconsin","44,295","44,275","44,203"
".Dunn County, Wisconsin","45,440","45,440","45,547"
".Eau Claire County, Wisconsin","105,710","105,818","106,452"
".Florence County, Wisconsin","4,558","4,556","4,593"
".Fond du Lac County, Wisconsin","104,154","104,076","104,362"
".Forest County, Wisconsin","9,179","9,160","9,258"
".Grant County, Wisconsin","51,938","51,934","52,110"
".Green County, Wisconsin","37,093","36,992","36,988"
".Green Lake County, Wisconsin","19,018","18,997","19,229"
".Iowa County, Wisconsin","23,709","23,676","23,756"
".Iron County, Wisconsin","6,137","6,128","6,178"
".Jackson County, Wisconsin","21,145","21,102","21,121"
".Jefferson County, Wisconsin","84,900","84,858","84,943"
".Juneau County, Wisconsin","26,718","26,759","26,802"
".Kenosha County, Wisconsin","169,151","169,073","168,732"
".Kewaunee County, Wisconsin","20,563","20,539","20,543"
".La Crosse County, Wisconsin","120,784","120,852","120,433"
".Lafayette County, Wisconsin","16,611","16,605","16,784"
".Langlade County, Wisconsin","19,491","19,438","19,502"
".Lincoln County, Wisconsin","28,415","28,374","28,541"
".Manitowoc County, Wisconsin","81,359","81,250","81,505"
".Marathon County, Wisconsin","138,013","137,954","137,648"
".Marinette County, Wisconsin","41,872","41,869","41,875"
".Marquette County, Wisconsin","15,592","15,584","15,792"
".Menominee County, Wisconsin","4,255","4,255","4,289"
".Milwaukee County, Wisconsin","939,489","938,149","928,059"
".Monroe County, Wisconsin","46,274","46,281","46,193"
".Oconto County, Wisconsin","38,965","39,043","39,356"
".Oneida County, Wisconsin","37,845","37,839","38,259"
".Outagamie County, Wisconsin","190,705","190,832","191,545"
".Ozaukee County, Wisconsin","91,503","91,569","92,497"
".Pepin County, Wisconsin","7,318","7,335","7,364"
".Pierce County, Wisconsin","42,212","42,191","42,587"
".Polk County, Wisconsin","44,977","45,006","45,431"
".Portage County, Wisconsin","70,377","70,378","70,468"
".Price County, Wisconsin","14,054","14,015","14,050"
".Racine County, Wisconsin","197,727","197,440","196,896"
".Richland County, Wisconsin","17,304","17,274","17,212"
".Rock County, Wisconsin","163,687","163,643","164,381"
".Rusk County, Wisconsin","14,188","14,168","14,123"
".St. Croix County, Wisconsin","93,536","93,797","95,044"
".Sauk County, Wisconsin","65,763","65,718","65,697"
".Sawyer County, Wisconsin","18,074","18,107","18,295"
".Shawano County, Wisconsin","40,881","40,838","40,859"
".Sheboygan County, Wisconsin","118,034","117,937","117,747"
".Taylor County, Wisconsin","19,913","19,897","19,923"
".Trempealeau County, Wisconsin","30,760","30,776","30,724"
".Vernon County, Wisconsin","30,714","30,693","30,915"
".Vilas County, Wisconsin","23,047","23,076","23,520"
".Walworth County, Wisconsin","106,478","106,499","106,799"
".Washburn County, Wisconsin","16,623","16,597","16,752"
".Washington County, Wisconsin","136,761","136,732","137,175"
".Waukesha County, Wisconsin","406,978","407,148","408,756"
".Waupaca County, Wisconsin","51,812","51,713","51,570"
".Waushara County, Wisconsin","24,520","24,511","24,828"
".Winnebago County, Wisconsin","171,730","171,646","171,623"
".Wood County, Wisconsin","74,207","74,091","74,070"
".Albany County, Wyoming","37,066","37,079","37,608"
".Big Horn County, Wyoming","11,521","11,467","11,632"
".Campbell County, Wyoming","47,026","47,116","46,401"
".Carbon County, Wyoming","14,537","14,499","14,649"
".Converse County, Wyoming","13,751","13,724","13,672"
".Crook County, Wyoming","7,181","7,178","7,315"
".Fremont County, Wyoming","39,234","39,177","39,336"
".Goshen County, Wyoming","12,498","12,503","12,537"
".Hot Springs County, Wyoming","4,621","4,622","4,597"
".Johnson County, Wyoming","8,447","8,459","8,623"
".Laramie County, Wyoming","100,512","100,690","100,863"
".Lincoln County, Wyoming","19,581","19,674","20,153"
".Natrona County, Wyoming","79,955","80,229","79,555"
".Niobrara County, Wyoming","2,467","2,439","2,438"
".Park County, Wyoming","29,624","29,656","30,108"
".Platte County, Wyoming","8,605","8,623","8,699"
".Sheridan County, Wyoming","30,921","30,996","31,646"
".Sublette County, Wyoming","8,728","8,723","8,697"
".Sweetwater County, Wyoming","42,272","42,158","41,614"
".Teton County, Wyoming","23,331","23,347","23,575"
".Uinta County, Wyoming","20,450","20,441","20,635"
".Washakie County, Wyoming","7,685","7,658","7,705"
".Weston County, Wyoming","6,838","6,809","6,745"
