table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Counties in the United States:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
".Miller County, Georgia","6,000","5,987","5,919"
".Mitchell County, Georgia","21,755","21,677","21,521"
".Monroe County, Georgia","27,957","28,046","28,712"
".Montgomery County, Georgia","8,610","8,577","8,653"
".Morgan County, Georgia","20,097","20,174","20,635"
".Murray County, Georgia","39,973","39,938","39,951"
".Muscogee County, Georgia","206,922","206,960","205,617"
".Newton County, Georgia","112,483","112,780","115,355"
".Oconee County, Georgia","41,799","42,021","43,023"
".Oglethorpe County, Georgia","14,825","14,865","15,140"
".Paulding County, Georgia","168,661","169,660","173,780"
".Peach County, Georgia","27,981","28,035","28,417"
".Pickens County, Georgia","33,216","33,333","34,024"
".Pierce County, Georgia","19,716","19,722","19,976"
".Pike County, Georgia","18,889","18,935","19,477"
".Polk County, Georgia","42,853","42,925","43,496"
".Pulaski County, Georgia","9,855","9,863","9,917"
".Putnam County, Georgia","22,047","22,140","22,585"
".Quitman County, Georgia","2,235","2,224","2,243"
".Rabun County, Georgia","16,883","16,894","17,119"
".Randolph County, Georgia","6,425","6,377","6,287"
".Richmond County, Georgia","206,607","206,328","205,673"
".Rockdale County, Georgia","93,570","93,614","94,082"
".Schley County, Georgia","4,547","4,538","4,478"
".Screven County, Georgia","14,067","14,060","14,105"
".Seminole County, Georgia","9,147","9,138","9,197"
".Spalding County, Georgia","67,306","67,413","67,909"
".Stephens County, Georgia","26,784","26,800","26,865"
".Stewart County, Georgia","5,314","5,295","5,341"
".Sumter County, Georgia","29,616","29,553","29,283"
".Talbot County, Georgia","5,733","5,731","5,742"
".Taliaferro County, Georgia","1,559","1,557","1,558"
".Tattnall County, Georgia","22,842","22,852","23,052"
".Taylor County, Georgia","7,816","7,814","7,799"
".Telfair County, Georgia","12,477","12,461","12,414"
".Terrell County, Georgia","9,185","9,153","8,964"
".Thomas County, Georgia","45,798","45,766","45,842"
